City,Lat,Lng,Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
cidreira,-30.18,-50.21,20.99,20.99,69,100,0.92,BR,1595426809
beringovskiy,63.05,179.32,7.16,7.16,86,0,1.76,RU,1595427100
otjiwarongo,-20.46,16.65,23.22,23.22,18,0,5.47,NA,1595427100
valdivia,-39.81,-73.25,8.0,8.0,100,40,1.0,CL,1595427100
shache,38.42,77.24,25.97,25.97,17,0,0.88,CN,1595427100
sambava,-14.27,50.17,23.12,23.12,62,60,8.51,MG,1595427101
tiznit,29.58,-9.5,35.83,35.83,22,0,3.28,MA,1595427101
port macquarie,-31.43,152.92,9.44,9.44,96,96,2.48,AU,1595427101
salinas,36.68,-121.66,13.5,13.89,81,90,2.1,US,1595427101
lucapa,-8.42,20.74,33.51,33.51,12,0,1.99,AO,1595427101
todos santos,23.45,-110.22,24.71,25.0,81,25,0.89,MX,1595427102
champerico,14.3,-91.92,23.0,23.0,88,75,2.58,GT,1595427102
kokkola,63.84,23.13,14.31,14.44,87,90,2.6,FI,1595427102
moissala,8.34,17.77,28.95,28.95,70,61,1.47,TD,1595427102
hays,30.05,-98.03,26.42,27.78,81,37,0.89,US,1595427102
sakaiminato,35.55,133.23,21.0,21.0,94,75,5.7,JP,1595427103
mayor pablo lagerenza,-19.93,-60.77,31.56,31.56,25,0,6.68,PY,1595427103
kuusamo,65.97,29.18,19.0,19.0,72,91,2.6,FI,1595427103
nanortalik,60.14,-45.24,13.11,13.11,57,55,8.09,GL,1595427103
sawtell,-30.38,153.1,10.31,11.11,87,100,3.15,AU,1595427103
segou,13.43,-6.22,35.24,35.24,38,49,3.3,ML,1595427103
ruston,32.52,-92.64,25.0,25.0,88,1,1.67,US,1595427103
mindelo,16.89,-24.98,29.0,29.0,66,75,8.2,CV,1595427104
niksar,40.59,36.95,24.0,24.0,57,75,6.7,TR,1595427104
roseburg,43.22,-123.34,15.49,17.0,67,1,0.35,US,1595427104
abu samrah,35.3,37.18,37.73,37.73,16,0,7.99,SY,1595427104
saint-louis,16.33,-15.0,34.02,34.02,47,22,1.91,SN,1595427104
santa maria do suacui,-18.19,-42.41,23.97,23.97,56,38,1.7,BR,1595427105
ibirite,-20.02,-44.06,22.59,24.0,57,0,2.6,BR,1595427105
vanavara,60.34,102.28,14.68,14.68,70,4,0.96,RU,1595427105
okhotsk,59.38,143.3,11.48,11.48,84,0,3.02,RU,1595427105
gujar khan,33.26,73.3,32.57,33.0,41,20,1.45,PK,1595427105
houston,29.76,-95.36,27.3,29.0,94,1,1.5,US,1595427086
jamalpur,24.92,89.93,27.75,27.75,85,100,2.3,BD,1595427106
santa cruz,-17.8,-63.17,25.0,25.0,69,40,6.2,BO,1595426806
bowen,-20.02,148.23,16.43,16.67,93,90,4.7,AU,1595427106
minab,27.15,57.08,35.0,35.0,59,20,6.2,IR,1595427106
mayo,38.89,-76.51,28.22,30.0,78,75,2.6,US,1595427106
owase,34.07,136.2,25.98,25.98,75,100,1.63,JP,1595427106
fairbanks,64.84,-147.72,9.82,11.0,93,90,1.27,US,1595427107
ajdabiya,30.76,20.23,28.78,28.78,53,0,10.41,LY,1595427107
lasa,46.62,10.7,22.71,23.33,43,75,1.5,IT,1595427107
sorland,67.67,12.69,13.38,14.0,71,40,4.6,NO,1595427107
havre-saint-pierre,50.23,-63.6,17.0,17.0,72,1,9.8,CA,1595427107
ginda,30.69,78.49,17.98,17.98,81,0,0.65,IN,1595427108
novikovo,51.15,37.89,21.71,21.71,64,29,6.69,RU,1595427108
deutschlandsberg,46.82,15.22,24.89,25.56,64,20,3.6,AT,1595427108
banikoara,11.3,2.44,32.49,32.49,47,47,1.79,BJ,1595427108
maniitsoq,65.42,-52.9,11.92,11.92,76,0,4.03,GL,1595427108
kaspiyskiy,45.39,47.37,33.27,33.27,23,0,5.31,RU,1595427108
ancud,-41.87,-73.82,6.04,8.33,93,100,1.5,CL,1595426949
talcahuano,-36.72,-73.12,8.0,8.0,87,75,4.6,CL,1595427109
japura,-0.32,102.35,24.51,24.51,86,93,0.68,ID,1595427109
umm lajj,25.02,37.27,31.17,31.17,67,0,4.04,SA,1595427109
bataipora,-22.3,-53.27,25.31,25.31,45,83,2.93,BR,1595427068
isla mujeres,21.23,-86.73,28.41,29.0,74,40,1.0,MX,1595427109
portland,45.52,-122.68,16.89,18.0,82,90,1.5,US,1595426508
moacsa,45.87,25.97,27.78,27.78,48,0,2.67,RO,1595427110
labuhan,-6.88,112.21,25.92,25.92,79,94,4.68,ID,1595427110
lethem,3.38,-59.8,23.51,23.51,92,96,3.64,GY,1595427110
buinsk,54.95,48.28,27.0,27.0,42,40,4.0,RU,1595427110
tignere,7.37,12.65,23.02,23.02,88,88,1.47,CM,1595427110
mendoza,-32.89,-68.83,7.0,7.0,75,75,5.1,AR,1595427110
alvand,36.32,49.17,21.1,21.1,61,18,4.61,IR,1595427111
shirgaon,19.7,72.7,29.0,29.0,83,100,3.45,IN,1595427111
constitucion,-35.33,-72.42,10.08,10.08,79,1,2.8,CL,1595427111
bilibino,68.05,166.44,15.35,15.35,55,100,1.08,RU,1595427111
cabedelo,-6.98,-34.83,28.0,28.0,61,20,6.2,BR,1595427111
clarence town,-32.58,151.78,9.11,9.44,93,99,0.82,AU,1595427111
whitehorse,60.72,-135.05,11.26,12.0,93,75,1.5,CA,1595426967
naruja,41.91,41.95,26.47,27.0,74,40,3.6,GE,1595427112
west wendover,40.74,-114.07,24.0,24.0,33,75,4.6,US,1595427112
forbes,-33.38,148.02,4.44,4.44,78,0,1.51,AU,1595427112
ikorodu,6.62,3.5,29.0,29.0,74,75,5.1,NG,1595427112
hofn,64.25,-15.21,13.0,13.0,82,75,4.6,IS,1595427112
blind river,46.18,-82.96,15.64,16.0,82,90,3.1,CA,1595427113
togur,58.36,82.83,12.46,12.46,78,29,4.34,RU,1595427113
yichang,30.71,111.28,25.0,25.0,87,100,1.63,CN,1595427113
sakakah,29.97,40.21,44.0,44.0,7,0,5.1,SA,1595427113
kuito,-12.38,16.93,25.91,25.91,18,0,1.88,AO,1595427113
amuntai,-2.42,115.25,24.16,24.16,96,8,0.23,ID,1595427113
gilbues,-9.83,-45.34,28.62,28.62,42,38,5.01,BR,1595427114
dapdap,12.06,125.49,28.33,28.33,76,1,2.58,PH,1595427114
msowero,-6.53,37.2,26.0,26.0,54,75,2.3,TZ,1595427114
itarema,-2.92,-39.92,29.16,29.16,43,55,6.2,BR,1595427114
